id,tag,sequence,statement_type
123,totalassets,24,Commercial Firm Balance Sheet
124,shorttermdebt,25,Commercial Firm Balance Sheet
125,accountspayable,26,Commercial Firm Balance Sheet
126,accruedexpenses,27,Commercial Firm Balance Sheet
127,customerdeposits,28,Commercial Firm Balance Sheet
128,dividendspayable,29,Commercial Firm Balance Sheet
129,currentdeferredrevenue,30,Commercial Firm Balance Sheet
130,currentdeferredtaxliabilities,31,Commercial Firm Balance Sheet
131,currentemployeebenefitliabilities,32,Commercial Firm Balance Sheet
132,othertaxespayable,33,Commercial Firm Balance Sheet
133,othercurrentliabilities,34,Commercial Firm Balance Sheet
134,othercurrentnonoperatingliabilities,35,Commercial Firm Balance Sheet
135,totalcurrentliabilities,36,Commercial Firm Balance Sheet
136,longtermdebt,37,Commercial Firm Balance Sheet
137,capitalleaseobligations,38,Commercial Firm Balance Sheet
138,assetretirementandlitigationobligation,39,Commercial Firm Balance Sheet
139,noncurrentdeferredrevenue,40,Commercial Firm Balance Sheet
140,noncurrentdeferredtaxliabilities,41,Commercial Firm Balance Sheet
141,noncurrentemployeebenefitliabilities,42,Commercial Firm Balance Sheet
142,othernoncurrentliabilities,43,Commercial Firm Balance Sheet
143,othernoncurrentnonoperatingliabilities,44,Commercial Firm Balance Sheet
144,totalliabilities,46,Commercial Firm Balance Sheet
145,commitmentsandcontingencies,47,Commercial Firm Balance Sheet
146,redeemablenoncontrollinginterest,48,Commercial Firm Balance Sheet
147,commonequity,50,Commercial Firm Balance Sheet
148,retainedearnings,51,Commercial Firm Balance Sheet
149,aoci,53,Commercial Firm Balance Sheet
150,otherequity,54,Commercial Firm Balance Sheet
151,totalcommonequity,55,Commercial Firm Balance Sheet
152,totalequity,56,Commercial Firm Balance Sheet
153,noncontrollinginterests,57,Commercial Firm Balance Sheet
154,totalequityandnoncontrollinginterests,58,Commercial Firm Balance Sheet
155,totalliabilitiesandequity,59,Commercial Firm Balance Sheet
156,cashandequivalents,1,Financial Firm Balance Sheet
157,restrictedcash,2,Financial Firm Balance Sheet
158,fedfundssold,3,Financial Firm Balance Sheet
159,interestbearingdepositsatotherbanks,4,Financial Firm Balance Sheet
160,timedepositsplaced,5,Financial Firm Balance Sheet
161,loansandleases,7,Financial Firm Balance Sheet
162,allowanceforloanandleaselosses,8,Financial Firm Balance Sheet
163,netloansandleases,9,Financial Firm Balance Sheet
164,loansheldforsale,10,Financial Firm Balance Sheet
165,accruedinvestmentincome,11,Financial Firm Balance Sheet
166,customerandotherreceivables,12,Financial Firm Balance Sheet
167,netpremisesandequipment,13,Financial Firm Balance Sheet
168,mortgageservicingrights,14,Financial Firm Balance Sheet
169,deferredacquisitioncost,16,Financial Firm Balance Sheet
170,separateaccountbusinessassets,17,Financial Firm Balance Sheet
171,goodwill,18,Financial Firm Balance Sheet
172,intangibleassets,19,Financial Firm Balance Sheet
173,otherassets,20,Financial Firm Balance Sheet
174,totalassets,21,Financial Firm Balance Sheet
175,noninterestbearingdeposits,22,Financial Firm Balance Sheet
176,interestbearingdeposits,23,Financial Firm Balance Sheet
177,fedfundspurchased,24,Financial Firm Balance Sheet
178,shorttermdebt,25,Financial Firm Balance Sheet
179,bankersacceptances,26,Financial Firm Balance Sheet
180,accruedinterestpayable,27,Financial Firm Balance Sheet
181,othershorttermpayables,28,Financial Firm Balance Sheet
182,longtermdebt,29,Financial Firm Balance Sheet
183,capitalleaseobligations,30,Financial Firm Balance Sheet
184,claimsandclaimexpenses,31,Financial Firm Balance Sheet
185,futurepolicybenefits,32,Financial Firm Balance Sheet
186,policyholderfunds,34,Financial Firm Balance Sheet
187,participatingpolicyholderequity,35,Financial Firm Balance Sheet
188,separateaccountbusinessliabilities,36,Financial Firm Balance Sheet
189,otherlongtermliabilities,37,Financial Firm Balance Sheet
190,totalliabilities,38,Financial Firm Balance Sheet
191,commitmentsandcontingencies,39,Financial Firm Balance Sheet
192,redeemablenoncontrollinginterest,40,Financial Firm Balance Sheet
193,commonequity,42,Financial Firm Balance Sheet
194,retainedearnings,43,Financial Firm Balance Sheet
195,aoci,45,Financial Firm Balance Sheet
196,otherequity,46,Financial Firm Balance Sheet
197,totalcommonequity,47,Financial Firm Balance Sheet
198,totalequity,48,Financial Firm Balance Sheet
199,noncontrollinginterests,49,Financial Firm Balance Sheet
200,totalequityandnoncontrollinginterests,50,Financial Firm Balance Sheet
201,netincome,1,Commercial Firm Cash Flow Statement
202,netincomediscontinued,2,Commercial Firm Cash Flow Statement
203,netincomecontinuing,3,Commercial Firm Cash Flow Statement
204,depreciationexpense,4,Commercial Firm Cash Flow Statement
205,amortizationexpense,5,Commercial Firm Cash Flow Statement
206,noncashadjustmentstonetincome,6,Commercial Firm Cash Flow Statement
207,increasedecreaseinoperatingcapital,7,Commercial Firm Cash Flow Statement
208,netcashfromcontinuingoperatingactivities,8,Commercial Firm Cash Flow Statement
209,netcashfromdiscontinuedoperatingactivities,9,Commercial Firm Cash Flow Statement
210,netcashfromoperatingactivities,10,Commercial Firm Cash Flow Statement
211,purchaseofplantpropertyandequipment,11,Commercial Firm Cash Flow Statement
212,acquisitions,12,Commercial Firm Cash Flow Statement
213,purchaseofinvestments,13,Commercial Firm Cash Flow Statement
214,saleofplantpropertyandequipment,14,Commercial Firm Cash Flow Statement
215,divestitures,15,Commercial Firm Cash Flow Statement
216,saleofinvestments,16,Commercial Firm Cash Flow Statement
217,otherinvestingactivitiesnet,17,Commercial Firm Cash Flow Statement
218,netcashfromcontinuinginvestingactivities,18,Commercial Firm Cash Flow Statement
219,netcashfromdiscontinuedinvestingactivities,19,Commercial Firm Cash Flow Statement
220,netcashfrominvestingactivities,20,Commercial Firm Cash Flow Statement
221,repaymentofdebt,21,Commercial Firm Cash Flow Statement
222,repurchaseofpreferredequity,22,Commercial Firm Cash Flow Statement
223,repurchaseofcommonequity,23,Commercial Firm Cash Flow Statement
224,paymentofdividends,24,Commercial Firm Cash Flow Statement
225,issuanceofdebt,25,Commercial Firm Cash Flow Statement
226,issuanceofpreferredequity,26,Commercial Firm Cash Flow Statement
227,issuanceofcommonequity,27,Commercial Firm Cash Flow Statement
228,otherfinancingactivitiesnet,28,Commercial Firm Cash Flow Statement
229,netcashfromcontinuingfinancingactivities,29,Commercial Firm Cash Flow Statement
230,netcashfromdiscontinuedfinancingactivities,30,Commercial Firm Cash Flow Statement
231,netcashfromfinancingactivities,31,Commercial Firm Cash Flow Statement
232,effectofexchangeratechanges,32,Commercial Firm Cash Flow Statement
233,othernetchangesincash,33,Commercial Firm Cash Flow Statement
234,netchangeincash,34,Commercial Firm Cash Flow Statement
235,cashinterestpaid,35,Commercial Firm Cash Flow Statement
236,cashinterestreceived,36,Commercial Firm Cash Flow Statement
237,cashincometaxespaid,37,Commercial Firm Cash Flow Statement
238,netincome,1,Financial Firm Cash Flow Statement
239,netincomediscontinued,2,Financial Firm Cash Flow Statement
240,netincomecontinuing,3,Financial Firm Cash Flow Statement
241,provisionforloanlosses,4,Financial Firm Cash Flow Statement
242,depreciationexpense,5,Financial Firm Cash Flow Statement
243,amortizationexpense,6,Financial Firm Cash Flow Statement
244,noncashadjustmentstonetincome,7,Financial Firm Cash Flow Statement
245,increasedecreaseinoperatingcapital,8,Financial Firm Cash Flow Statement
246,netcashfromcontinuingoperatingactivities,9,Financial Firm Cash Flow Statement
247,netcashfromdiscontinuedoperatingactivities,10,Financial Firm Cash Flow Statement
248,netcashfromoperatingactivities,11,Financial Firm Cash Flow Statement
249,purchaseofplantpropertyandequipment,12,Financial Firm Cash Flow Statement
250,acquisitions,13,Financial Firm Cash Flow Statement
251,purchaseofinvestments,14,Financial Firm Cash Flow Statement
252,saleofplantpropertyandequipment,15,Financial Firm Cash Flow Statement
253,divestitures,16,Financial Firm Cash Flow Statement
254,saleofinvestments,17,Financial Firm Cash Flow Statement
255,netincreaseinfedfundssold,18,Financial Firm Cash Flow Statement
256,loansheldforsalenet,19,Financial Firm Cash Flow Statement
257,otherinvestingactivitiesnet,20,Financial Firm Cash Flow Statement
258,netcashfromcontinuinginvestingactivities,21,Financial Firm Cash Flow Statement
259,netcashfromdiscontinuedinvestingactivities,22,Financial Firm Cash Flow Statement
260,netcashfrominvestingactivities,23,Financial Firm Cash Flow Statement
261,netchangeindeposits,24,Financial Firm Cash Flow Statement
262,issuanceofdebt,25,Financial Firm Cash Flow Statement
263,issuanceofpreferredequity,26,Financial Firm Cash Flow Statement
264,issuanceofcommonequity,27,Financial Firm Cash Flow Statement
265,repaymentofdebt,28,Financial Firm Cash Flow Statement
266,repurchaseofpreferredequity,29,Financial Firm Cash Flow Statement
267,repurchaseofcommonequity,30,Financial Firm Cash Flow Statement
268,paymentofdividends,31,Financial Firm Cash Flow Statement
269,otherfinancingactivitiesnet,32,Financial Firm Cash Flow Statement
270,netcashfromcontinuingfinancingactivities,33,Financial Firm Cash Flow Statement
271,netcashfromdiscontinuedfinancingactivities,34,Financial Firm Cash Flow Statement
272,netcashfromfinancingactivities,35,Financial Firm Cash Flow Statement
273,effectofexchangeratechanges,36,Financial Firm Cash Flow Statement
274,othernetchangesincash,37,Financial Firm Cash Flow Statement
275,netchangeincash,38,Financial Firm Cash Flow Statement
276,cashinterestpaid,39,Financial Firm Cash Flow Statement
277,cashinterestreceived,40,Financial Firm Cash Flow Statement
278,cashincometaxespaid,41,Financial Firm Cash Flow Statement
